"Attribute","Attribute"
"Coefficient","Coefficient"
"Add","Add"
"Execute","Execute"
"Create query in LupaSearch","Create query in LupaSearch"
"Creating...","Creating..."
"Done.","Done."
"There was an exception. Please check the logs for more information.","There was an exception. Please check the logs for more information."
"Type undefined","Type undefined"
"Store ID undefined","Store ID undefined"
"Query successfully generated.","Query successfully generated."
"Queries successfully generated.","Queries successfully generated."
"Category","Category"
"Categories","Categories"
"in category","in category"
"Source", "Source"
"Price","Price"
"Query builder is not found for given type %1","Query builder is not found for given type %1"
"Unknown query type.","Unknown query type."
"Unknown response.","Unknown response."
